actual_sentiment	id	predicted_sentiment
0	"5249_1"	0
1	"2195_10"	1
0	"10386_4"	0
0	"12011_4"	0
0	"5954_1"	0
0	"6408_2"	1
1	"8090_9"	1
0	"6908_2"	0
0	"11459_4"	1
1	"6421_8"	1
0	"5056_2"	0
1	"2886_8"	1
0	"8006_2"	0
0	"5834_4"	1
1	"3789_8"	1
0	"12295_3"	1
1	"5358_10"	1
1	"9145_10"	1
1	"10167_7"	1
1	"11107_10"	1
1	"3171_9"	1
1	"10134_7"	1
1	"1007_10"	1
1	"3658_10"	1
1	"10403_7"	1
1	"9359_8"	1
1	"12348_9"	1
1	"2596_10"	1
1	"10303_7"	1
1	"11775_10"	1
1	"9001_8"	1
1	"981_7"	1
0	"3977_2"	0
1	"4608_9"	1
0	"4679_4"	0
1	"5094_8"	1
0	"8102_1"	0
1	"11974_10"	1
1	"1931_8"	1
0	"7699_2"	0
0	"143_2"	0
0	"11760_2"	1
1	"11396_10"	1
0	"29_4"	1
1	"8270_10"	1
0	"10835_4"	0
1	"5053_8"	1
0	"10430_3"	0
0	"132_3"	0
0	"538_1"	0
0	"7069_4"	0
0	"2092_3"	0
1	"4598_9"	1
0	"3974_4"	0
1	"4275_10"	1
1	"2272_7"	1
1	"5102_7"	1
0	"11069_1"	0
1	"8925_7"	1
0	"1825_2"	1
1	"11042_7"	1
1	"3199_10"	0
1	"3439_9"	1
0	"11066_1"	0
0	"2337_4"	0
0	"7061_1"	0
1	"9168_7"	1
0	"1702_1"	0
1	"1617_8"	1
0	"8503_1"	0
1	"1154_10"	1
0	"5521_1"	0
1	"12044_7"	1
1	"5663_10"	1
0	"5386_2"	0
1	"999_10"	1
1	"6642_10"	1
1	"3375_9"	0
0	"10085_3"	0
0	"12183_4"	0
1	"4115_8"	0
1	"1490_8"	1
1	"3520_9"	1
1	"4037_7"	1
1	"5719_9"	1
1	"8726_9"	1
1	"9225_10"	1
1	"8190_10"	0
0	"3710_1"	0
1	"5389_7"	1
0	"4128_1"	0
1	"8920_10"	0
0	"4027_3"	0
0	"2382_1"	0
0	"3792_4"	0
1	"8692_10"	1
0	"4250_3"	1
0	"2090_2"	0
0	"3806_4"	0
1	"6323_7"	0
1	"2631_7"	1
0	"10081_1"	0
0	"5747_2"	0
0	"1784_1"	0
1	"4787_10"	0
0	"12155_1"	0
0	"7131_1"	0
1	"8108_10"	1
1	"5794_10"	1
1	"10164_7"	1
1	"3783_10"	1
1	"7914_10"	1
1	"8452_7"	0
0	"12267_4"	0
1	"6561_10"	0
0	"5481_1"	0
0	"9400_1"	1
1	"1389_8"	1
0	"3687_1"	0
1	"1222_10"	1
1	"1235_10"	0
1	"4124_8"	1
1	"2203_8"	1
0	"9005_4"	0
0	"8114_3"	0
0	"1961_4"	0
1	"1245_7"	0
0	"8310_1"	1
1	"3049_9"	0
1	"9801_10"	0
1	"11975_7"	1
1	"8337_10"	1
0	"11869_4"	0
0	"2230_1"	0
1	"9095_10"	1
0	"6423_3"	0
0	"1971_1"	0
0	"6458_1"	0
0	"9377_1"	0
0	"2155_3"	0
0	"10470_1"	0
1	"2863_8"	0
0	"507_4"	1
0	"8742_3"	0
1	"5165_9"	0
0	"6467_3"	0
0	"12364_1"	0
1	"3335_8"	1
0	"194_1"	0
1	"10657_8"	1
0	"11824_1"	0
1	"4083_10"	1
1	"1370_8"	0
0	"6830_4"	0
1	"12351_8"	1
1	"10789_10"	0
0	"4326_2"	0
0	"4470_3"	0
1	"10849_10"	1
1	"8585_8"	1
1	"9729_9"	1
1	"4806_8"	1
0	"11520_3"	0
0	"1307_1"	0
0	"8646_1"	0
0	"3493_1"	1
0	"5729_1"	0
0	"11178_3"	0
0	"7549_1"	1
1	"4583_7"	0
0	"10435_2"	0
0	"11665_3"	1
1	"9406_8"	0
1	"533_10"	1
1	"7646_8"	1
1	"11993_9"	1
1	"6026_8"	1
0	"2633_1"	0
1	"576_10"	1
1	"5820_7"	1
0	"6120_1"	0
0	"6128_2"	0
1	"11984_10"	1
0	"8082_3"	0
1	"12435_8"	1
0	"8036_2"	0
0	"10774_2"	0
0	"9683_1"	0
1	"2183_8"	1
0	"9481_3"	0
1	"11722_8"	1
0	"2906_1"	0
1	"3696_7"	1
0	"11817_4"	0
0	"4065_4"	0
1	"3130_9"	0
0	"947_2"	1
0	"7998_1"	0
0	"2866_1"	0
0	"1831_2"	0
1	"9904_8"	0
1	"4565_8"	1
1	"12069_10"	1
0	"2705_1"	0
0	"6243_1"	0
1	"6131_10"	1
1	"12449_8"	0
0	"11720_2"	0
0	"7731_4"	0
1	"6821_10"	1
1	"8549_8"	1
1	"1871_10"	1
0	"4936_1"	0
0	"8902_3"	0
1	"9910_10"	1
1	"12415_8"	1
0	"278_1"	0
0	"5007_1"	0
0	"3004_1"	0
1	"10597_9"	1
0	"12010_4"	1
0	"2104_2"	0
1	"434_8"	1
1	"11613_7"	1
0	"1499_4"	0
0	"4761_4"	0
1	"147_9"	0
1	"5797_8"	1
0	"5754_2"	0
0	"7180_4"	0
0	"213_4"	1
0	"7556_1"	0
0	"7312_1"	0
0	"10307_2"	0
0	"9273_1"	0
0	"902_4"	1
1	"9678_8"	1
0	"4982_4"	0
0	"11508_1"	0
0	"4819_1"	0
0	"4497_4"	0
0	"6161_1"	0
1	"6028_9"	1
0	"9346_1"	0
1	"918_10"	1
1	"6496_10"	0
1	"4514_10"	1
0	"2032_2"	0
0	"7012_1"	0
1	"8000_10"	1
0	"11371_1"	0
1	"12167_10"	1
0	"8780_4"	0
0	"2995_3"	0
1	"7562_10"	0
0	"10651_1"	0
1	"3808_10"	1
0	"8409_4"	1
0	"10766_4"	1
0	"3720_2"	0
1	"9036_10"	1
0	"6751_1"	0
0	"9312_1"	0
0	"8664_1"	0
1	"7031_10"	1
1	"851_7"	1
0	"3432_4"	0
0	"9724_1"	0
1	"7869_9"	1
0	"10270_1"	0
0	"6396_2"	0
1	"240_10"	1
0	"11650_1"	0
0	"9787_3"	0
0	"272_2"	0
0	"4072_1"	0
0	"475_1"	0
0	"2731_1"	0
0	"4001_3"	0
0	"7173_1"	0
1	"3451_8"	0
0	"2505_2"	0
0	"21_4"	0
0	"6482_2"	0
1	"9650_10"	0
1	"5304_10"	1
1	"6388_7"	0
1	"7282_9"	0
1	"10593_8"	1
1	"4710_7"	0
1	"4380_8"	1
1	"8701_8"	1
0	"664_2"	0
0	"9505_4"	0
1	"9710_10"	1
1	"11442_10"	0
0	"10358_1"	0
1	"7050_7"	0
0	"3923_2"	0
0	"10806_1"	0
0	"6342_3"	1
0	"8185_2"	0
0	"219_2"	0
0	"11018_1"	0
1	"9998_9"	1
0	"11161_4"	1
1	"2691_8"	1
1	"5905_9"	1
1	"6110_8"	1
0	"9684_1"	0
0	"11648_2"	0
0	"1709_3"	0
1	"5169_7"	0
0	"10399_4"	0
0	"5608_1"	1
0	"6146_4"	0
1	"1263_8"	1
0	"9292_3"	0
1	"5852_7"	0
1	"2807_7"	1
1	"4822_9"	1
1	"10060_9"	1
1	"5248_8"	1
0	"2610_3"	0
0	"2550_1"	0
0	"227_1"	0
1	"3066_10"	1
0	"10523_2"	0
0	"4979_3"	0
0	"1314_1"	0
1	"5957_9"	1
0	"6339_1"	0
0	"324_1"	0
1	"7745_8"	1
1	"7059_10"	1
1	"8508_7"	1
1	"7978_8"	1
1	"10034_8"	1
0	"1034_2"	0
1	"8026_9"	1
0	"7763_3"	0
1	"5803_10"	1
0	"3698_3"	1
1	"2603_8"	0
1	"5_10"	1
0	"7548_1"	1
0	"100_3"	0
0	"6053_1"	0
0	"10495_1"	0
0	"7794_1"	0
1	"5456_10"	1
1	"7816_9"	1
1	"7_7"	1
1	"1914_7"	1
1	"5899_7"	1
0	"7802_1"	0
0	"2399_1"	0
0	"39_2"	0
1	"8716_10"	1
0	"7627_4"	1
1	"427_10"	1
1	"8264_9"	1
1	"12238_8"	1
1	"3649_9"	1
0	"1785_2"	0
0	"1287_3"	0
0	"4008_1"	1
1	"10411_9"	1
1	"11342_9"	1
0	"6317_1"	0
0	"3709_1"	0
0	"5991_1"	0
0	"3556_1"	0
0	"455_4"	1
0	"8294_1"	0
0	"4358_1"	0
0	"5545_2"	0
1	"10052_10"	1
1	"8144_9"	1
0	"5378_3"	0
1	"4805_8"	1
0	"6681_1"	0
1	"5131_10"	1
0	"5036_4"	1
0	"6489_1"	0
0	"12386_1"	0
1	"3019_8"	0
1	"6068_9"	1
0	"5445_1"	0
0	"574_4"	1
0	"315_1"	0
0	"1753_1"	0
0	"8895_3"	1
1	"7939_8"	1
0	"4788_3"	1
0	"4160_1"	0
1	"8793_10"	1
0	"9948_2"	0
0	"5927_4"	0
1	"548_7"	0
1	"2515_10"	1
0	"10177_1"	0
1	"7800_8"	0
0	"11871_4"	0
1	"2892_10"	1
1	"6864_7"	1
1	"12056_10"	1
0	"11188_1"	0
0	"5852_3"	0
1	"91_8"	0
0	"8706_2"	1
1	"4483_8"	1
0	"11856_1"	0
1	"3077_10"	1
0	"9503_4"	1
1	"12007_10"	1
1	"2338_10"	1
0	"11953_1"	1
0	"10464_1"	0
1	"8423_8"	0
0	"10397_2"	0
1	"11187_9"	1
1	"8845_8"	1
1	"2139_9"	1
0	"8383_1"	0
0	"11976_1"	0
0	"3828_3"	0
1	"8658_8"	1
0	"9474_1"	0
1	"5382_7"	1
1	"2380_9"	1
0	"6135_2"	0
1	"3840_10"	1
1	"7096_10"	1
1	"3599_8"	0
1	"1031_10"	1
1	"10992_10"	0
0	"5967_4"	0
1	"4987_10"	1
0	"3870_3"	0
0	"8232_1"	0
1	"4521_10"	1
1	"5869_10"	1
1	"10970_7"	1
0	"5454_1"	0
1	"738_8"	1
1	"12398_8"	0
1	"11837_7"	1
1	"3784_9"	0
1	"2532_8"	1
0	"9131_3"	0
0	"10578_1"	0
0	"11813_1"	1
0	"4966_2"	0
0	"9979_1"	0
1	"3030_9"	1
1	"4467_7"	1
1	"8171_8"	1
1	"10855_9"	0
1	"327_8"	1
1	"9358_8"	1
0	"1648_1"	0
1	"3176_9"	1
0	"1609_3"	1
1	"1511_8"	1
0	"10638_2"	0
0	"11704_3"	1
0	"12245_1"	0
1	"9873_7"	1
1	"8708_8"	1
1	"1541_8"	1
0	"8494_2"	0
1	"9178_10"	1
0	"9291_4"	1
0	"5388_2"	0
0	"3420_1"	1
0	"11230_1"	0
0	"10304_1"	0
0	"10201_3"	0
0	"2966_1"	0
0	"9618_4"	0
0	"10511_1"	0
0	"3325_1"	0
0	"10300_3"	0
1	"10985_9"	0
1	"5715_10"	1
1	"1770_10"	0
1	"422_7"	0
1	"8789_10"	1
0	"4579_1"	0
1	"7211_10"	1
1	"6395_9"	1
1	"9635_7"	1
1	"1304_7"	1
0	"11474_1"	0
1	"4852_8"	1
0	"12424_1"	1
1	"10736_10"	1
0	"3497_3"	0
0	"8456_2"	0
1	"5496_9"	0
0	"2069_1"	0
1	"5197_10"	1
0	"3594_1"	0
0	"464_2"	0
1	"2916_9"	1
1	"10071_9"	1
0	"6537_1"	0
1	"230_9"	1
0	"3748_1"	0
1	"1795_8"	1
0	"4132_1"	0
1	"3687_7"	1
1	"11920_9"	1
1	"9257_7"	1
0	"523_1"	0
1	"3538_10"	0
0	"3663_4"	0
1	"7081_8"	1
0	"9858_2"	0
0	"11585_1"	0
0	"7176_1"	0
0	"7552_1"	0
0	"2492_3"	0
0	"9298_2"	0
0	"9303_1"	0
1	"10994_8"	1
1	"11303_9"	1
1	"4308_8"	0
1	"5246_10"	1
1	"8596_7"	1
0	"6761_2"	0
1	"5540_10"	1
1	"259_8"	1
0	"350_2"	1
1	"2046_8"	1
0	"6168_2"	0
0	"378_4"	0
1	"7030_10"	1
1	"10114_10"	1
0	"4645_3"	1
0	"5980_3"	0
1	"7003_10"	1
0	"10641_2"	0
0	"5489_1"	1
0	"4294_2"	0
0	"607_3"	1
0	"2138_4"	0
0	"2810_4"	1
1	"3737_9"	1
1	"9493_8"	1
1	"5708_10"	1
0	"9828_3"	0
1	"2349_9"	0
0	"6112_1"	0
1	"8276_10"	0
1	"1662_7"	1
1	"8699_10"	1
0	"2010_3"	0
0	"6567_2"	1
0	"4165_2"	0
0	"12060_3"	0
0	"4232_1"	0
0	"3506_1"	0
1	"3020_9"	1
0	"5150_4"	1
1	"10776_8"	0
1	"9636_7"	0
0	"811_1"	0
1	"4156_10"	1
0	"3186_2"	0
0	"549_1"	0
1	"1618_10"	1
0	"10228_3"	0
1	"11935_7"	1
1	"11337_10"	1
1	"9836_9"	1
0	"10845_3"	0
0	"11450_1"	1
0	"11578_1"	0
0	"9746_1"	0
0	"6575_4"	1
0	"9134_4"	0
1	"5072_8"	1
1	"4210_9"	1
0	"11411_4"	0
0	"603_1"	0
0	"12143_1"	0
1	"7391_9"	1
0	"6573_3"	0
0	"743_1"	0
0	"1095_3"	0
0	"8720_3"	0
0	"7890_1"	0
1	"10518_9"	1
1	"9152_8"	0
1	"10762_10"	1
1	"2255_8"	1
1	"9224_10"	1
1	"57_10"	1
1	"8535_7"	1
1	"5788_8"	1
0	"10612_3"	0
1	"7942_10"	1
1	"10964_7"	1
1	"1817_8"	1
1	"7464_10"	1
0	"1404_3"	1
0	"2574_3"	0
1	"12012_10"	1
0	"8740_1"	0
0	"4685_4"	0
1	"8556_7"	0
0	"454_4"	1
1	"9291_7"	1
1	"1703_8"	1
0	"1817_3"	0
1	"947_10"	1
0	"9485_3"	0
0	"1093_2"	0
1	"11965_8"	1
1	"1942_10"	1
1	"1752_8"	1
0	"7055_3"	0
0	"3454_4"	0
1	"5795_10"	1
1	"8776_10"	1
0	"6503_3"	0
0	"11057_3"	0
0	"9192_3"	0
1	"12037_10"	1
1	"8592_7"	0
1	"1762_7"	0
1	"10788_10"	1
1	"9969_10"	1
1	"9816_10"	1
0	"197_3"	0
0	"8811_1"	0
0	"2603_1"	0
0	"10480_2"	0
1	"9032_8"	1
0	"1267_1"	0
1	"9943_7"	1
0	"8773_1"	0
1	"285_10"	0
0	"7147_1"	0
1	"6468_7"	1
1	"4567_10"	1
0	"3289_1"	1
0	"10468_1"	0
0	"928_1"	0
1	"10078_8"	1
1	"10190_7"	1
1	"11751_10"	1
0	"1344_1"	0
0	"5418_4"	0
0	"12049_3"	1
0	"16_3"	0
1	"3534_10"	1
1	"5770_10"	1
1	"7237_10"	1
0	"10938_3"	0
0	"7840_4"	0
1	"1663_9"	1
0	"11042_2"	0
1	"10571_8"	1
1	"4999_9"	1
1	"11853_7"	0
0	"3137_1"	0
1	"5534_7"	1
0	"4875_3"	0
0	"2745_4"	1
1	"3518_10"	1
1	"9494_10"	0
1	"11276_10"	0
1	"5953_9"	1
0	"6493_2"	0
1	"7048_10"	1
1	"1360_10"	1
0	"8280_1"	0
1	"4148_7"	1
0	"9070_1"	0
0	"2420_1"	1
1	"9574_9"	1
0	"7869_2"	0
0	"11861_4"	0
1	"6973_10"	1
0	"8934_3"	0
0	"9971_1"	0
0	"10838_1"	0
0	"6393_4"	0
0	"9002_4"	0
0	"7333_3"	1
1	"11486_8"	0
1	"9960_7"	0
0	"8119_3"	0
0	"1900_4"	0
1	"9350_10"	1
1	"10361_7"	1
0	"1959_4"	0
1	"3330_7"	1
1	"1631_8"	1
0	"9510_1"	0
1	"873_8"	1
0	"10494_1"	0
0	"5116_1"	1
0	"9928_3"	0
1	"5003_10"	0
1	"11551_7"	1
0	"7135_3"	0
0	"9385_2"	0
0	"5678_1"	0
1	"7763_8"	1
1	"6011_8"	1
1	"566_8"	1
1	"6637_8"	1
1	"11828_8"	1
0	"1128_1"	0
1	"2144_8"	1
0	"2238_1"	0
1	"5533_7"	1
1	"5998_10"	1
0	"4916_4"	0
0	"1313_1"	0
0	"11729_3"	0
1	"2449_7"	0
1	"10213_8"	1
0	"10941_1"	0
0	"9311_1"	0
1	"6056_9"	1
0	"5024_4"	0
0	"344_2"	0
0	"1846_3"	0
0	"9645_4"	1
1	"6328_10"	1
0	"7515_1"	0
0	"5456_3"	0
0	"9000_2"	0
0	"4473_2"	0
1	"11795_10"	1
1	"4655_7"	1
0	"3126_1"	0
0	"6426_4"	0
1	"2200_9"	1
1	"6834_10"	1
1	"5862_8"	1
1	"5974_7"	0
1	"2630_8"	1
1	"6083_8"	1
0	"4770_2"	0
1	"8531_7"	1
0	"4744_4"	0
1	"4291_10"	1
0	"5290_3"	0
1	"2379_8"	1
1	"7447_8"	0
1	"3709_7"	1
1	"2192_9"	1
0	"3272_4"	1
1	"8981_7"	1
1	"1098_9"	1
0	"217_3"	0
0	"382_1"	1
1	"11260_7"	1
1	"8035_7"	1
0	"3150_1"	1
0	"5596_3"	0
1	"238_10"	1
1	"8823_8"	0
0	"8493_1"	0
0	"11989_1"	0
0	"6547_2"	1
0	"5985_3"	1
0	"11662_1"	0
1	"4842_10"	1
0	"2984_4"	1
0	"11818_2"	0
0	"8578_2"	0
1	"1084_9"	1
0	"8584_4"	0
1	"273_9"	1
1	"5718_7"	0
0	"4201_1"	0
0	"4161_1"	0
0	"9220_4"	0
0	"2280_4"	0
0	"3650_2"	1
1	"3793_7"	1
0	"12127_1"	0
1	"8224_8"	1
0	"0_3"	1
0	"4141_4"	0
1	"6744_8"	1
1	"2668_9"	1
1	"10005_7"	1
0	"1339_2"	0
0	"10231_1"	0
1	"5387_8"	1
0	"5882_1"	0
1	"4455_8"	1
0	"12161_3"	1
0	"10750_3"	0
1	"7514_8"	1
0	"2823_2"	0
1	"2216_9"	1
0	"9055_2"	0
0	"8116_1"	0
1	"7167_9"	0
1	"3440_8"	0
1	"6291_10"	1
1	"389_10"	1
1	"2302_9"	1
0	"2007_2"	0
0	"2239_4"	0
1	"12049_10"	1
1	"7899_10"	0
0	"2328_3"	1
0	"7686_1"	0
1	"10670_10"	1
1	"6418_10"	1
0	"938_1"	0
0	"2719_4"	0
1	"9215_7"	1
1	"9723_9"	1
1	"6809_7"	1
1	"5814_8"	0
1	"8626_7"	1
1	"10493_9"	0
1	"8019_7"	1
1	"6625_7"	1
1	"2442_10"	0
1	"952_10"	1
0	"5000_1"	0
1	"3154_10"	1
1	"10948_10"	1
1	"4279_10"	1
0	"11686_1"	0
0	"11768_4"	1
0	"2706_2"	0
1	"8462_9"	1
1	"10058_7"	1
0	"1771_2"	0
1	"6994_8"	0
0	"12444_3"	0
0	"7697_4"	0
0	"4607_4"	0
1	"10249_7"	0
1	"277_8"	1
1	"7818_9"	1
0	"2428_4"	0
0	"4794_4"	1
1	"10607_10"	1
0	"12351_4"	1
1	"174_7"	0
0	"971_3"	0
1	"6363_8"	1
0	"7036_4"	0
1	"9451_8"	1
0	"10808_1"	0
1	"7929_10"	1
1	"9598_10"	1
0	"9744_1"	0
0	"1484_2"	0
1	"1503_9"	1
0	"7901_3"	1
0	"5899_3"	0
1	"1979_9"	1
1	"9866_7"	1
1	"8835_9"	1
0	"7434_2"	0
0	"11216_4"	0
1	"3557_9"	1
1	"5444_8"	1
0	"8471_1"	0
0	"9635_3"	0
1	"4173_10"	1
1	"2549_8"	1
